system   D            wsystem.c:583  maybe_parent_dir                 [   0.00112] Also searching C:\Users\Pablo\Documents\Visual Studio 2010\Projects\Jumper\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00191] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00200] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.02701] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.05835] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.05854] Allegro version: 5.0.8
d3d      I         d3d_disp.cpp:1732 d3d_create_display_locked        [   0.06073] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1733 d3d_create_display_locked        [   0.06082] al_display=006A4F08
d3d      D         d3d_disp.cpp:1734 d3d_create_display_locked        [   0.06088] al_display->vt=006A4E40
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06342] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.06358] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06368] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.06374] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06382] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.06388] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06396] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.06402] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06410] Score is : 721
